,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
1006,Philadelphia,Pennsylvania,367.0,0.07,287348,1664,1569657,2
1007,Potter,Pennsylvania,4.0,0.56,5099,0,17070,1
1008,Schuylkill,Pennsylvania,26.0,0.44,38502,48,144287,1
1009,Somerset,Pennsylvania,6.0,0.49,21498,1,75619,1
1010,Susquehanna,Pennsylvania,4.0,0.5,11975,26,41716,1
1011,Tioga,Pennsylvania,6.0,0.52,11363,2,41550,1
1012,Union,Pennsylvania,12.0,0.47,10058,2,45056,1
1013,Venango,Pennsylvania,8.0,0.49,15253,0,52880,1
1014,Warren,Pennsylvania,6.0,0.51,11948,1,40345,1
1015,Washington,Pennsylvania,16.0,0.41,55472,7,207661,1
1016,Wayne,Pennsylvania,8.0,0.49,15447,8,51656,1
1017,Westmoreland,Pennsylvania,33.0,0.37,103773,40,356835,1
1018,Wyoming,Pennsylvania,6.0,0.51,7271,7,27760,1
1019,York,Pennsylvania,70.0,0.35,99386,67,442216,0
1020,Kent,Rhode Island,15.0,0.31,40477,101,164012,1
1021,Newport,Rhode Island,10.0,0.32,22925,6,83204,1
1022,Providence,Rhode Island,204.0,0.27,128527,796,633704,0
1023,Washington,Rhode Island,17.0,0.37,33367,63,126190,1
1024,Abbeville,South Carolina,6.0,0.52,7042,2,24788,1
1025,Aiken,South Carolina,35.0,0.43,41209,13,165707,1
1026,Anderson,South Carolina,25.0,0.4,45832,21,194174,1
1027,Beaufort,South Carolina,24.0,0.39,56939,26,179316,1
1028,Charleston,South Carolina,221.0,0.37,82073,81,387847,1
1029,Cherokee,South Carolina,12.0,0.47,12263,9,56549,1
1030,Chester,South Carolina,6.0,0.51,7881,5,32424,1
1031,Chesterfield,South Carolina,6.0,0.5,10606,16,46127,1
1032,Clarendon,South Carolina,6.0,0.51,10223,47,34156,1
1033,Colleton,South Carolina,8.0,0.51,9996,26,37581,1
1034,Darlington,South Carolina,12.0,0.47,16204,18,67572,1
1035,Dillon,South Carolina,6.0,0.5,6605,16,31073,1
1036,Florence,South Carolina,63.0,0.43,30487,60,138537,1
1037,Georgetown,South Carolina,18.0,0.49,20484,10,61065,1
1038,Greenville,South Carolina,119.0,0.32,100264,123,490332,0
1039,Greenwood,South Carolina,20.0,0.46,16269,9,69981,1
1040,Hampton,South Carolina,6.0,0.53,4776,3,20066,1
1041,Horry,South Carolina,92.0,0.4,90290,79,310186,1
1042,Jasper,South Carolina,4.0,0.52,6289,3,27465,1
1043,Kershaw,South Carolina,10.0,0.48,15574,18,63734,1
1044,Lancaster,South Carolina,20.0,0.46,22468,18,86544,1
1045,Lexington,South Carolina,21.0,0.36,59280,69,281870,1
1046,Marion,South Carolina,10.0,0.5,8483,10,31765,1
1047,Newberry,South Carolina,7.0,0.51,9371,4,37914,1
1048,Orangeburg,South Carolina,20.0,0.47,22393,30,89116,1
1049,Pickens,South Carolina,4.0,0.41,25531,10,121449,1
1050,Richland,South Carolina,98.0,0.35,68651,102,404869,0
1051,Spartanburg,South Carolina,45.0,0.36,63159,59,297732,1
1052,Sumter,South Carolina,17.0,0.43,22798,31,107379,1
1053,Union,South Carolina,6.0,0.51,7465,0,27772,1
1054,Williamsburg,South Carolina,4.0,0.52,8243,17,32256,1
1055,York,South Carolina,24.0,0.38,48997,13,251664,1
1056,Beadle,South Dakota,6.0,0.57,4501,8,18163,1
1057,Brown,South Dakota,6.0,0.55,8651,2,38637,1
1058,Codington,South Dakota,8.0,0.53,6325,0,27963,1
1059,Davison,South Dakota,8.0,0.53,4889,1,19753,1
1060,Hughes,South Dakota,6.0,0.56,4017,2,17572,1
1061,Lawrence,South Dakota,5.0,0.53,6595,0,25018,1
1062,Meade,South Dakota,3.0,0.55,5515,1,27066,1
1063,Minnehaha,South Dakota,56.0,0.43,32585,61,183660,1
1064,Pennington,South Dakota,38.0,0.48,24271,21,108126,1
1065,Walworth,South Dakota,4.0,0.6,1683,0,5502,1
1066,Yankton,South Dakota,10.0,0.53,5565,2,22660,1
1067,Anderson,Tennessee,25.0,0.43,19563,2,75538,1
1068,Bedford,Tennessee,8.0,0.49,9596,10,46854,1
1069,Blount,Tennessee,8.0,0.41,32770,4,127135,1
1070,Bradley,Tennessee,27.0,0.41,22968,6,103666,1
1071,Campbell,Tennessee,10.0,0.49,10474,1,39824,1
1072,Carter,Tennessee,8.0,0.45,15434,2,56500,1
1073,Claiborne,Tennessee,5.0,0.5,8189,0,31566,1
1074,Cocke,Tennessee,5.0,0.49,9766,1,35262,1
1075,Coffee,Tennessee,13.0,0.48,12449,0,54074,1
1076,Cumberland,Tennessee,12.0,0.49,21229,5,58178,1
1077,Davidson,Tennessee,359.0,0.24,113356,160,678322,0
1078,DeKalb,Tennessee,4.0,0.52,4748,0,19380,1
1079,Dickson,Tennessee,6.0,0.48,10824,0,51341,1
1080,Dyer,Tennessee,14.0,0.5,8344,3,37751,1
1081,Franklin,Tennessee,10.0,0.5,10550,3,41397,1
1082,Gibson,Tennessee,3.0,0.49,11692,1,49222,1
1083,Giles,Tennessee,6.0,0.52,7499,1,29024,1
1084,Greene,Tennessee,17.0,0.47,18918,2,68520,1
1085,Hamblen,Tennessee,20.0,0.38,14917,5,63465,1
1086,Hamilton,Tennessee,151.0,0.31,81748,39,354589,1
1087,Hawkins,Tennessee,6.0,0.47,14964,2,56402,1
1088,Jefferson,Tennessee,6.0,0.45,13602,1,52887,1
1089,Knox,Tennessee,147.0,0.27,93686,17,452286,0
1090,Lawrence,Tennessee,6.0,0.5,9973,6,42591,1
1091,Lincoln,Tennessee,6.0,0.51,8761,0,33543,1
1092,Loudon,Tennessee,5.0,0.43,16724,3,51024,1
1093,McMinn,Tennessee,4.0,0.47,13164,19,52569,1
1094,Madison,Tennessee,89.0,0.44,21289,2,97887,1
1095,Maury,Tennessee,41.0,0.46,18777,4,87606,1
1096,Montgomery,Tennessee,21.0,0.39,25156,7,192120,1
1097,Overton,Tennessee,6.0,0.53,5857,1,21995,1
1098,Putnam,Tennessee,38.0,0.45,16721,7,75565,1
1099,Rhea,Tennessee,3.0,0.49,7787,0,32478,1
1100,Roane,Tennessee,6.0,0.46,15778,0,52926,1
1101,Robertson,Tennessee,8.0,0.46,13369,14,68575,1
1102,Rutherford,Tennessee,78.0,0.37,42641,40,298456,1
1103,Sevier,Tennessee,16.0,0.45,23741,4,95523,1
1104,Shelby,Tennessee,196.0,0.25,169553,233,937847,0
1105,Smith,Tennessee,2.0,0.52,4324,2,19279,1
1106,Sullivan,Tennessee,92.0,0.37,44012,5,156519,1
1107,Sumner,Tennessee,38.0,0.4,36997,57,175730,1
1108,Warren,Tennessee,8.0,0.49,9356,1,40210,1
1109,Washington,Tennessee,76.0,0.38,29936,0,126437,1
1110,White,Tennessee,4.0,0.51,7108,3,26394,1
1111,Williamson,Tennessee,28.0,0.39,37356,18,212161,1
1112,Wilson,Tennessee,12.0,0.43,27113,18,128874,1
1113,Anderson,Texas,10.0,0.5,11434,4,57747,1
1114,Angelina,Texas,39.0,0.48,18271,12,87700,1
1115,Atascosa,Texas,6.0,0.51,9558,2,48139,1
1116,Bee,Texas,8.0,0.52,5168,0,32729,1
1117,Bell,Texas,90.0,0.4,47766,15,336506,1
1118,Bexar,Texas,505.0,0.26,307269,229,1892004,2
1119,Bowie,Texas,58.0,0.46,20099,29,93635,1
1120,Brazoria,Texas,16.0,0.41,57101,28,345995,1
1121,Brazos,Texas,48.0,0.4,26525,38,214231,1
1122,Brewster,Texas,3.0,0.63,2537,1,9220,1
1123,Brown,Texas,12.0,0.52,9428,13,37787,1
1124,Burnet,Texas,12.0,0.51,12977,5,45017,1
1125,Calhoun,Texas,6.0,0.52,4869,3,21821,1
1126,Cameron,Texas,96.0,0.36,71392,89,420201,0
1127,Collin,Texas,107.0,0.3,135322,64,914075,0
1128,Comal,Texas,16.0,0.44,32206,30,129100,1
1129,Cooke,Texas,5.0,0.51,9693,0,39064,1
1130,Coryell,Texas,4.0,0.48,9667,3,75818,1
1131,Dallas,Texas,469.0,0.14,377154,485,2552213,2
1132,Denton,Texas,85.0,0.33,106598,41,781321,0
1133,Ector,Texas,30.0,0.44,21622,22,155744,1
1134,Ellis,Texas,18.0,0.43,29137,21,164092,1
1135,El Paso,Texas,225.0,0.33,133011,173,834825,0
1136,Erath,Texas,5.0,0.52,7785,1,41016,1
1137,Fannin,Texas,2.0,0.52,8521,8,33787,1
1138,Fort Bend,Texas,114.0,0.33,107897,69,711421,0
1139,Gillespie,Texas,10.0,0.54,9675,0,25939,1
1140,Gray,Texas,8.0,0.54,4745,4,22962,1
1141,Grayson,Texas,71.0,0.45,29807,7,126146,1
1142,Gregg,Texas,57.0,0.36,24309,16,123402,1
1143,Guadalupe,Texas,9.0,0.43,27355,4,150889,1
1144,Hale,Texas,5.0,0.51,6124,17,34527,1
1146,Hays,Texas,42.0,0.42,29297,14,194843,1
1147,Henderson,Texas,10.0,0.48,22345,5,79687,1
1148,Hidalgo,Texas,195.0,0.34,119536,240,839539,0
1149,Hood,Texas,12.0,0.46,17518,5,55418,1
1150,Hopkins,Texas,14.0,0.51,8258,0,35929,1
1151,Howard,Texas,8.0,0.52,6475,1,36491,1
1152,Hunt,Texas,16.0,0.47,19359,8,90322,1
1153,Hutchinson,Texas,4.0,0.54,4709,0,21704,1
1154,Jasper,Texas,6.0,0.52,8797,2,35444,1
1155,Jefferson,Texas,88.0,0.39,49559,44,254574,1
1156,Jim Wells,Texas,8.0,0.51,8333,0,41318,1
1157,Johnson,Texas,7.0,0.42,30241,4,160173,1
1158,Kaufman,Texas,8.0,0.46,19451,5,114852,1
1159,Kerr,Texas,12.0,0.51,17362,1,50761,1
1160,Kleberg,Texas,10.0,0.51,5398,1,31540,1
1161,Lamar,Texas,20.0,0.5,12011,14,49401,1
1162,Lavaca,Texas,3.0,0.54,6001,1,19859,1
1163,Limestone,Texas,6.0,0.53,5738,1,23480,1
1164,Lubbock,Texas,194.0,0.4,49312,65,298042,1
1165,McLennan,Texas,42.0,0.41,46694,20,245720,1
1166,Matagorda,Texas,6.0,0.52,8504,5,36744,1
1167,Maverick,Texas,10.0,0.51,8834,13,57471,1
1168,Montgomery,Texas,155.0,0.36,96577,46,535187,0
1169,Moore,Texas,3.0,0.53,3264,15,22016,1
1170,Nacogdoches,Texas,27.0,0.49,11946,33,65411,1
1171,Navarro,Texas,9.0,0.5,10925,8,48239,1
1172,Nolan,Texas,5.0,0.55,3544,0,14990,1
1173,Nueces,Texas,105.0,0.38,68411,75,358484,1
1174,Palo Pinto,Texas,8.0,0.53,7221,2,28109,1
1175,Parker,Texas,20.0,0.45,26729,1,125963,1
1176,Polk,Texas,8.0,0.52,12746,1,46974,1
1177,Potter,Texas,51.0,0.45,19850,39,121230,1
1178,Rockwall,Texas,20.0,0.37,14954,17,90414,1
1179,Smith,Texas,211.0,0.41,47438,10,222277,1
1180,Tarrant,Texas,400.0,0.16,306980,283,1983675,2
1181,Taylor,Texas,66.0,0.44,25874,11,135371,1
1182,Titus,Texas,8.0,0.5,6098,6,32664,1
1183,Tom Green,Texas,29.0,0.47,23527,9,116906,1
1184,Travis,Texas,301.0,0.29,160972,189,1176584,0
1185,Uvalde,Texas,6.0,0.55,6046,3,27015,1
1186,Val Verde,Texas,7.0,0.55,9283,8,48976,1
1187,Victoria,Texas,35.0,0.46,19189,18,91518,1
1188,Walker,Texas,6.0,0.49,11996,28,70818,1
1189,Washington,Texas,5.0,0.51,9303,33,34667,1
1190,Webb,Texas,56.0,0.45,34315,55,269624,1
1191,Wharton,Texas,4.0,0.51,9080,1,41430,1
1192,Wichita,Texas,12.0,0.43,25521,7,131778,1
1193,Williamson,Texas,100.0,0.38,81426,65,508313,0
1194,Wilson,Texas,4.0,0.51,10123,5,47205,1
1195,Wise,Texas,21.0,0.49,13012,5,63247,1
1196,Cache,Utah,14.0,0.46,15104,3,120288,1
1197,Carbon,Utah,6.0,0.55,4558,0,20512,1
1198,Davis,Utah,22.0,0.31,45623,7,334977,1
1199,Duchesne,Utah,4.0,0.58,3119,0,20259,1
1200,Iron,Utah,6.0,0.54,7853,0,48504,1
1201,Salt Lake,Utah,230.0,0.28,164497,135,1106700,0
1202,San Juan,Utah,1.0,0.62,2833,18,15193,1
1203,Summit,Utah,4.0,0.54,6731,1,39731,1
1204,Tooele,Utah,4.0,0.54,8290,0,63357,1
1205,Uintah,Utah,4.0,0.57,4899,0,36343,1
1206,Utah,Utah,122.0,0.39,59457,30,576496,0
1207,Washington,Utah,32.0,0.47,40002,7,155577,1
1208,Weber,Utah,64.0,0.38,38967,18,244101,1
1209,Bennington,Vermont,10.0,0.51,10413,1,36054,1
1210,Caledonia,Vermont,4.0,0.52,8308,0,30576,1
1211,Chittenden,Vermont,21.0,0.41,31691,39,160985,1
1212,Orange,Vermont,2.0,0.52,7904,0,28901,1
1213,Orleans,Vermont,5.0,0.53,7930,0,26951,1
1214,Rutland,Vermont,13.0,0.49,16414,1,59676,1
1215,Washington,Vermont,14.0,0.48,15091,1,58691,1
1216,Accomack,Virginia,10.0,0.51,9713,14,32840,1
1217,Albemarle,Virginia,12.0,0.45,24260,10,105105,1
1218,Alleghany,Virginia,10.0,0.53,4783,2,15489,1
1219,Arlington,Virginia,32.0,0.12,32701,134,229534,1
1220,Augusta,Virginia,8.0,0.47,19681,2,74390,1
1221,Buchanan,Virginia,12.0,0.53,6055,0,22611,1
1222,Chesterfield,Virginia,94.0,0.29,65652,64,335594,1
1223,Culpeper,Virginia,6.0,0.48,10197,12,49795,1
1224,Essex,Virginia,7.0,0.54,3102,0,11083,1
1225,Fauquier,Virginia,8.0,0.47,15267,8,68406,1
1226,Gloucester,Virginia,7.0,0.47,9239,1,37035,1
1227,Halifax,Virginia,12.0,0.51,10489,1,35030,1
1228,Hanover,Virginia,24.0,0.43,23448,30,103218,1
1229,Henrico,Virginia,81.0,0.26,65204,175,324073,1
1230,Loudoun,Virginia,33.0,0.36,46809,101,374558,1
1231,Montgomery,Virginia,22.0,0.43,16371,3,97692,1
1232,Prince Edward,Virginia,8.0,0.51,5017,6,22903,1
1233,Prince William,Virginia,24.0,0.27,60739,160,450763,0
1234,Pulaski,Virginia,8.0,0.48,9988,2,34330,1
1235,Russell,Virginia,5.0,0.51,7582,0,27725,1
1236,Smyth,Virginia,4.0,0.51,8800,1,31298,1
1237,Spotsylvania,Virginia,12.0,0.42,23288,31,130159,1
1238,Stafford,Virginia,4.0,0.38,19771,6,141159,1
1239,Tazewell,Virginia,12.0,0.49,11682,0,42689,1
1240,Warren,Virginia,8.0,0.46,8490,8,38991,1
1241,Washington,Virginia,14.0,0.48,15381,4,54457,1
1242,Wise,Virginia,8.0,0.49,9345,3,39539,1
1243,Wythe,Virginia,6.0,0.51,8014,1,29048,1
1244,Benton,Washington,44.0,0.45,37874,100,190529,1
1245,Chelan,Washington,20.0,0.5,18408,8,75138,1
1246,Clallam,Washington,19.0,0.51,26654,0,73439,1
1247,Clark,Washington,96.0,0.35,92850,33,457474,0
1248,Cowlitz,Washington,18.0,0.46,26255,1,103590,1
1249,Island,Washington,6.0,0.42,24585,12,80323,1
1250,Jefferson,Washington,6.0,0.55,13626,0,30524,1
1251,King,Washington,541.0,0.3,386511,652,2118119,2
1252,Kitsap,Washington,20.0,0.32,59433,2,258903,1
1253,Kittitas,Washington,6.0,0.53,9312,0,43726,1
1254,Lewis,Washington,6.0,0.51,20549,3,76012,1
1255,Mason,Washington,6.0,0.49,18441,1,61569,1
1256,Pierce,Washington,197.0,0.34,157501,114,845193,0
1257,Skagit,Washington,6.0,0.47,31915,19,121725,1
1258,Snohomish,Washington,72.0,0.38,143234,182,771904,0
1259,Spokane,Washington,79.0,0.39,105082,45,490764,0
1260,Thurston,Washington,72.0,0.38,60028,8,269885,1
1261,Walla Walla,Washington,28.0,0.49,13443,3,59862,1
1262,Whatcom,Washington,24.0,0.45,47353,43,212738,1
1263,Whitman,Washington,6.0,0.53,6710,0,47794,1
1264,Yakima,Washington,52.0,0.46,44560,203,248279,1
1265,Berkeley,West Virginia,20.0,0.39,21894,10,111610,1
1266,Cabell,West Virginia,32.0,0.41,22787,0,96100,1
1267,Fayette,West Virginia,3.0,0.49,12150,4,44602,1
1268,Grant,West Virginia,3.0,0.55,3470,0,11673,1
1269,Greenbrier,West Virginia,12.0,0.52,10528,3,35523,1
1270,Harrison,West Virginia,20.0,0.45,17201,1,68438,1
1271,Jefferson,West Virginia,5.0,0.44,11916,4,55673,1
1272,Kanawha,West Virginia,100.0,0.42,49628,20,187827,1
1273,Lewis,West Virginia,6.0,0.53,4386,2,16371,1
1274,Logan,West Virginia,12.0,0.5,8559,1,34428,1
1275,McDowell,West Virginia,7.0,0.53,5272,0,19707,1
1276,Marshall,West Virginia,9.0,0.49,9258,0,32006,1
1277,Mason,West Virginia,5.0,0.51,7153,0,27000,1
1278,Mercer,West Virginia,17.0,0.46,16998,0,60963,1
1279,Mineral,West Virginia,4.0,0.5,7414,3,27421,1
1280,Mingo,West Virginia,6.0,0.51,6170,2,25150,1
1281,Monongalia,West Virginia,91.0,0.43,16742,5,103715,1
1282,Ohio,West Virginia,22.0,0.41,12039,3,42906,1
1283,Raleigh,West Virginia,27.0,0.45,20258,0,77097,1
1284,Upshur,West Virginia,4.0,0.52,6359,0,24604,1
1285,Wetzel,West Virginia,5.0,0.53,4523,0,15793,1
1286,Wood,West Virginia,18.0,0.43,22379,3,86016,1
1287,Barron,Wisconsin,5.0,0.5,12648,1,45358,1
1288,Brown,Wisconsin,56.0,0.37,49706,44,258004,1
1289,Chippewa,Wisconsin,6.0,0.48,14882,0,63445,1
1290,Columbia,Wisconsin,10.0,0.49,13488,1,56790,1
1291,Dane,Wisconsin,32.0,0.38,93985,33,522837,0
1292,Dodge,Wisconsin,10.0,0.47,20377,5,87833,1
1293,Door,Wisconsin,4.0,0.52,10267,3,27443,1
1294,Eau Claire,Wisconsin,40.0,0.45,20349,1,102388,1
1295,Fond du Lac,Wisconsin,15.0,0.45,24000,6,102082,1
1296,Green,Wisconsin,6.0,0.5,8908,1,36869,1
1297,Green Lake,Wisconsin,5.0,0.52,5437,0,18745,1
1298,Jefferson,Wisconsin,4.0,0.46,18308,4,84586,1
1299,Kenosha,Wisconsin,27.0,0.36,31603,47,167886,1
1300,La Crosse,Wisconsin,52.0,0.42,24464,0,117582,1
1301,Langlade,Wisconsin,4.0,0.54,5568,1,19190,1
1302,Manitowoc,Wisconsin,16.0,0.46,20684,1,79680,1
1303,Marathon,Wisconsin,52.0,0.46,30856,2,135293,1
1304,Marinette,Wisconsin,10.0,0.52,12297,3,40712,1
1305,Milwaukee,Wisconsin,455.0,0.12,173173,403,956586,0
1306,Oneida,Wisconsin,30.0,0.52,11792,0,35352,1
1307,Outagamie,Wisconsin,64.0,0.41,35410,10,183288,1
1308,Ozaukee,Wisconsin,46.0,0.4,21950,17,87817,1
1309,Polk,Wisconsin,3.0,0.51,11630,2,43328,1
1310,Portage,Wisconsin,12.0,0.48,15091,0,70371,1
1311,Price,Wisconsin,4.0,0.57,4514,0,13566,1
1312,Racine,Wisconsin,33.0,0.37,42061,66,195101,1
1313,Richland,Wisconsin,4.0,0.54,5148,4,17626,1
1314,Rock,Wisconsin,33.0,0.42,34912,24,161226,1
1315,Rusk,Wisconsin,4.0,0.55,4413,1,14211,1
1316,Sauk,Wisconsin,10.0,0.49,15064,3,63340,1
1317,Sheboygan,Wisconsin,13.0,0.43,27003,4,115094,1
1318,Walworth,Wisconsin,16.0,0.44,22640,18,102917,1
1319,Washington,Wisconsin,12.0,0.41,30378,19,133967,1
1320,Waukesha,Wisconsin,64.0,0.28,95193,40,396731,0
1321,Waupaca,Wisconsin,4.0,0.49,13904,13,51651,1
1322,Winnebago,Wisconsin,60.0,0.4,35586,14,169540,1
1323,Wood,Wisconsin,4.0,0.48,18838,1,73427,1
1324,Albany,Wyoming,4.0,0.55,5887,0,37944,1
1325,Campbell,Wyoming,14.0,0.56,6482,0,48116,1
1326,Carbon,Wyoming,6.0,0.61,3421,1,15689,1
1327,Fremont,Wyoming,12.0,0.57,9748,10,40354,1
1328,Laramie,Wyoming,15.0,0.49,20072,3,97031,1
1329,Natrona,Wyoming,14.0,0.51,16036,1,81023,1
1330,Park,Wyoming,4.0,0.59,8475,0,29276,1
1331,Sheridan,Wyoming,11.0,0.56,8337,0,29964,1
1332,Sweetwater,Wyoming,10.0,0.58,7015,2,44527,1
1333,Teton,Wyoming,6.0,0.57,4298,1,22923,1
1334,Uinta,Wyoming,6.0,0.56,3554,0,20758,1
